LastName,FirstName,PrimaryEmail,Income,ExternalDataReference
Last_Name_9,Student_9,Student_9@email.edu,10000,"$10,000"
Last_Name_42,Student_42,Student_42@email.edu,10000,"$10,000"
Last_Name_30,Student_30,Student_30@email.edu,10000,"$10,000"
Last_Name_22,Student_22,Student_22@email.edu,10000,"$10,000"
Last_Name_53,Student_53,Student_53@email.edu,10000,"$10,000"
Last_Name_55,Student_55,Student_55@email.edu,10000,"$10,000"
Last_Name_92,Student_92,Student_92@email.edu,10000,"$10,000"
Last_Name_56,Student_56,Student_56@email.edu,10000,"$10,000"
Last_Name_45,Student_45,Student_45@email.edu,10000,"$10,000"
Last_Name_25,Student_25,Student_25@email.edu,10000,"$10,000"
Last_Name_26,Student_26,Student_26@email.edu,12000,"$12,000"
Last_Name_83,Student_83,Student_83@email.edu,13000,"$13,000"
Last_Name_2,Student_2,Student_2@email.edu,14000,"$14,000"
Last_Name_50,Student_50,Student_50@email.edu,14000,"$14,000"
Last_Name_63,Student_63,Student_63@email.edu,18000,"$18,000"
Last_Name_59,Student_59,Student_59@email.edu,20000,"$20,000"
Last_Name_95,Student_95,Student_95@email.edu,21000,"$21,000"
Last_Name_23,Student_23,Student_23@email.edu,22000,"$22,000"
Last_Name_81,Student_81,Student_81@email.edu,23000,"$23,000"
Last_Name_27,Student_27,Student_27@email.edu,23000,"$23,000"
Last_Name_86,Student_86,Student_86@email.edu,25000,"$25,000"
Last_Name_88,Student_88,Student_88@email.edu,28000,"$28,000"
Last_Name_67,Student_67,Student_67@email.edu,29000,"$29,000"
Last_Name_78,Student_78,Student_78@email.edu,30000,"$30,000"
Last_Name_77,Student_77,Student_77@email.edu,32000,"$32,000"
Last_Name_3,Student_3,Student_3@email.edu,34000,"$34,000"
Last_Name_33,Student_33,Student_33@email.edu,35000,"$35,000"
Last_Name_24,Student_24,Student_24@email.edu,37000,"$37,000"
Last_Name_79,Student_79,Student_79@email.edu,37000,"$37,000"
Last_Name_76,Student_76,Student_76@email.edu,38000,"$38,000"
Last_Name_60,Student_60,Student_60@email.edu,42000,"$42,000"
Last_Name_90,Student_90,Student_90@email.edu,42000,"$42,000"
Last_Name_7,Student_7,Student_7@email.edu,43000,"$43,000"
Last_Name_65,Student_65,Student_65@email.edu,44000,"$44,000"
Last_Name_17,Student_17,Student_17@email.edu,47000,"$47,000"
Last_Name_61,Student_61,Student_61@email.edu,52000,"$52,000"
Last_Name_70,Student_70,Student_70@email.edu,54000,"$54,000"
Last_Name_39,Student_39,Student_39@email.edu,56000,"$56,000"
Last_Name_15,Student_15,Student_15@email.edu,56000,"$56,000"
Last_Name_19,Student_19,Student_19@email.edu,58000,"$58,000"
Last_Name_14,Student_14,Student_14@email.edu,59000,"$59,000"
Last_Name_36,Student_36,Student_36@email.edu,64000,"$64,000"
Last_Name_34,Student_34,Student_34@email.edu,66000,"$66,000"
Last_Name_44,Student_44,Student_44@email.edu,66000,"$66,000"
Last_Name_73,Student_73,Student_73@email.edu,67000,"$67,000"
Last_Name_43,Student_43,Student_43@email.edu,67000,"$67,000"
Last_Name_84,Student_84,Student_84@email.edu,70000,"$70,000"
Last_Name_87,Student_87,Student_87@email.edu,72000,"$72,000"
Last_Name_58,Student_58,Student_58@email.edu,72000,"$72,000"
Last_Name_47,Student_47,Student_47@email.edu,73000,"$73,000"
Last_Name_71,Student_71,Student_71@email.edu,77000,"$77,000"
Last_Name_64,Student_64,Student_64@email.edu,80000,"$80,000"
